,word,wordcount_before,percentage_before,wordcount_onafter,percentage_onafter,wordcount_difference,percentage_difference
708,tornandpasted,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
709,lp,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
710,hardware,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
711,translucent,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
712,pearl,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
713,matches,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
714,heatresistant,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
715,reliefprinted,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
716,paste,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
717,baked,9,2.517729008434392e-05,6,4.050086064328867e-05,-3,60.86266833170208
718,ping,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
719,foamcore,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
720,varnished,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
721,rives,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
722,ribbon,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
723,letterpress\r\n,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
724,padding,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
725,liquid,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
726,epoxy,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
727,hinged,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
728,direct,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
729,postage,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
730,pong,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
731,special,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
732,bottom,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
733,handwoven,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
734,transparent,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
735,foldout,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
736,pink,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
737,packets,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
738,composite,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
739,architectural,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
740,silicon,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
741,paper\r\nc,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
742,numerous,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
743,puzzle,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
744,ring,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
745,orange,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
746,index,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
747,mark,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
748,bars,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
749,armature,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
750,castiron,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
751,extruded,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
752,flash,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
753,screws,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
754,plasticcoated,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
755,oilstick,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
756,automobile,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
757,commercially,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
758,plant,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
759,putty,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
760,loop,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
761,accordion,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
762,yarn,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
763,adhesive,8,2.2379813408305708e-05,6,4.050086064328867e-05,-2,80.97050187316482
764,ephemera,8,2.2379813408305708e-05,5,3.375071720274056e-05,-3,50.8087515609707
765,gessoed,8,2.2379813408305708e-05,5,3.375071720274056e-05,-3,50.8087515609707
766,cable,8,2.2379813408305708e-05,5,3.375071720274056e-05,-3,50.8087515609707
767,press,8,2.2379813408305708e-05,5,3.375071720274056e-05,-3,50.8087515609707
768,spit,8,2.2379813408305708e-05,5,3.375071720274056e-05,-3,50.8087515609707
769,reprint,8,2.2379813408305708e-05,5,3.375071720274056e-05,-3,50.8087515609707
770,attached,8,2.2379813408305708e-05,5,3.375071720274056e-05,-3,50.8087515609707
771,german,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
772,sx0,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
773,wrapping,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
774,probably,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
775,unidentified,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
776,aquatint\r\n,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
777,mercerized,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
778,georg,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
779,broken,7,1.9582336732267493e-05,5,3.375071720274056e-05,-2,72.35285892682366
