,nationality,count_before,percentage_before,count_onafter,percentage_onafter,count_difference,percentage_difference
32,south african,88,0.0009626428923043,70,0.0019137186286839,-18,98.79839595584492
33,croatian,86,0.0009407646447519,69,0.0018863797911312,-17,100.51559140263815
34,peruvian,80,0.0008751299020948,67,0.001831702116026,-13,109.30631117065607
35,indian,78,0.0008532516545424,60,0.0016403302531576,-18,92.24460268258272
36,australian,76,0.0008313734069901,59,0.001612991415605,-17,94.01527665464619
37,uruguayan,75,0.0008204342832139,56,0.0015309749029471,-19,86.60542767054883
38,serbian,60,0.0006563474265711,55,0.0015036360653944,-5,129.09148486339285
39,guatemalan,55,0.0006016518076902,55,0.0015036360653944,0,149.91798348732726
40,yugoslav,49,0.000536017065033,55,0.0015036360653944,6,180.52018554704566
41,romanian,40,0.0004375649510474,53,0.0014489583902892,13,231.141328120734
42,sudanese,38,0.000415686703495,49,0.0013396030400787,11,222.2626629179187
43,greek,27,0.000295356341957,41,0.0011208923396577,14,279.5050860363402
44,icelandic,21,0.0002297215992998,39,0.0010662146645524,18,364.1333979052306
45,turkish,19,0.0002078433517475,36,0.0009841981518945,17,373.5288108181397
46,malian,19,0.0002078433517475,35,0.0009568593143419,16,360.37523273987006
47,irish,18,0.0001969042279713,32,0.000874842801684,14,344.29863731088284
49,bosnian,17,0.0001859651041951,27,0.0007381486139209,10,296.9285620094039
48,korean,17,0.0001859651041951,28,0.0007654874514735,11,311.6296198615901
50,nigerian,16,0.0001750259804189,26,0.0007108097763683,10,306.11672316708473
51,slovenian,15,0.0001640868566427,25,0.0006834709388156,10,316.5299724790642
52,congolese,15,0.0001640868566427,25,0.0006834709388156,10,316.5299724790642
53,macedonian,14,0.0001531477328665,21,0.0005741155886051,7,274.8769752312042
54,luxembourgish,11,0.000120330361538,19,0.0005194379134999,8,331.67651693281334
55,lithuanian,8,8.751299020948422e-05,18,0.0004920990759472,10,462.3154628464161
56,chinese,7,7.65738664332987e-05,16,0.000437421400842,9,471.24110511387755
57,zimbabwean,6,6.563474265711316e-05,16,0.000437421400842,10,566.4479559661905
58,scottish,5,5.469561888092764e-05,15,0.0004100825632894,10,649.75395046201
59,bulgarian,4,4.375649510474211e-05,13,0.0003554048881841,9,712.2334463337376
61,lebanese,4,4.375649510474211e-05,12,0.0003280660506315,8,649.7539504619643
62,georgian,4,4.375649510474211e-05,9,0.0002460495379736,5,462.3154628464161
60,iranian,4,4.375649510474211e-05,12,0.0003280660506315,8,649.7539504619643
63,thai,3,3.281737132855658e-05,8,0.000218710700421,5,566.4479559661905
64,moroccan,2,2.187824755237105e-05,8,0.000218710700421,6,899.671933949286
65,malaysian,2,2.187824755237105e-05,7,0.0001913718628683,5,774.7129422052824
66,new zealander,2,2.187824755237105e-05,7,0.0001913718628683,5,774.7129422052824
67,algerian,2,2.187824755237105e-05,5,0.0001366941877631,3,524.7949587181894
72,pakistani,1,1.0939123776185527e-05,2,5.467767510525452e-05,1,399.8359669746842
75,tunisian,1,1.0939123776185527e-05,1,2.733883755262726e-05,0,149.9179834873421
74,egyptian,1,1.0939123776185527e-05,2,5.467767510525452e-05,1,399.8359669746842
73,slovak,1,1.0939123776185527e-05,2,5.467767510525452e-05,1,399.8359669746842
68,ethiopian,1,1.0939123776185527e-05,4,0.0001093553502105,3,899.671933949286
71,filipino,1,1.0939123776185527e-05,2,5.467767510525452e-05,1,399.8359669746842
70,namibian,1,1.0939123776185527e-05,3,8.201651265788179e-05,2,649.7539504620263
69,vietnamese,1,1.0939123776185527e-05,4,0.0001093553502105,3,899.671933949286
76,taiwanese,1,1.0939123776185527e-05,1,2.733883755262726e-05,0,149.9179834873421
