,word,wordcount,percentage
705,sixteen,169,0.0011407742414526309
597,embossing,166,0.0011205238111309866
26,mounted,161,0.001086773093928246
9,tracing,160,0.0010800229504876978
469,including,156,0.0010530223767255054
484,eleven,152,0.001026021802963313
604,photoetching,152,0.001026021802963313
843,notebook,145,0.0009787707988794761
659,twenty,144,0.000972020655438928
665,illustration,144,0.000972020655438928
546,lift,144,0.000972020655438928
724,piece,143,0.00096527051199838
798,transparentized,143,0.00096527051199838
599,monotype,143,0.00096527051199838
108,cardboard,143,0.00096527051199838
739,card,142,0.0009585203685578319
592,00,138,0.0009315197947956394
91,media,135,0.0009112693644739951
2430,archival,135,0.0009112693644739951
148,rubber,133,0.0008977690775928989
566,roulette,132,0.0008910189341523508
21,vellum,131,0.0008842687907118026
31,graph,130,0.0008775186472712545
715,sixtythree,128,0.0008640183603901583
64,marker,127,0.0008572682169496102
1021,forty,126,0.0008505180735090621
711,envelope,125,0.000843767930068514
537,soft,123,0.0008302676431874177
741,panel,122,0.0008235174997468696
456,plate,122,0.0008235174997468696
2404,multichannel,119,0.0008032670694252253
535,supplementary,119,0.0008032670694252253
536,suite,119,0.0008032670694252253
762,cd,119,0.0008032670694252253
431,gold,116,0.0007830166391035809
111,stainless,115,0.0007762664956630328
88,plywood,114,0.0007695163522224847
468,fifteen,113,0.0007627662087819366
557,catalogue,112,0.0007560160653413885
61,laser,111,0.0007492659219008404
520,cassette,110,0.0007425157784602922
942,twentyfive,110,0.0007425157784602922
2399,cinema,107,0.0007222653481386479
854,pressuresensitive,107,0.0007222653481386479
616,halftone,106,0.0007155152046980998
1665,album,106,0.0007155152046980998
90,mixed,104,0.0007020149178170037
110,plexiglas,102,0.0006885146309359073
579,object,102,0.0006885146309359073
125,resin,102,0.0006885146309359073
94,pigment,101,0.0006817644874953593
2507,reel,101,0.0006817644874953593
1002,doublesided,101,0.0006817644874953593
924,platinumpalladium,100,0.0006750143440548112
363,various,99,0.0006682642006142631
35,photocopies,97,0.0006547639137331669
631,carborundum,97,0.0006547639137331669
1371,min,96,0.0006480137702926188
1467,twentytwo,95,0.0006412636268520706
498,project,94,0.0006345134834115225
539,pochoir,93,0.0006277633399709744
663,broadside,92,0.0006210131965304263
852,instant,92,0.0006210131965304263
1977,stapled,92,0.0006210131965304263
497,edition,91,0.0006142630530898782
678,newspaper,91,0.0006142630530898782
645,folded,90,0.0006075129096493301
142,polyester,89,0.000600762766208782
534,stamp,89,0.000600762766208782
181,abs,88,0.0005940126227682338
260,leaf,88,0.0005940126227682338
215,cotton,86,0.0005805123358871376
1599,corner,86,0.0005805123358871376
