,word,wordcount,percentage
855,gravure,92,0.00025736785419551564
1633,eightysix,91,0.00025457037751947745
243,cast,91,0.00025457037751947745
2009,woodburytype,89,0.000248975424167401
906,wove,89,0.000248975424167401
1609,eighty,88,0.0002461779474913628
1539,eightyfive,87,0.00024338047081532457
420,newspaper,86,0.00024058299413928636
965,booklet,85,0.00023778551746324816
2175,flocking,85,0.00023778551746324816
1626,eightythree,84,0.00023498804078720995
3225,eightytwo,83,0.0002321905641111717
142,lettering,83,0.0002321905641111717
1217,verso,83,0.0002321905641111717
306,molded,81,0.0002265956107590953
1643,seventyfive,81,0.0002265956107590953
1261,thirtynine,80,0.0002237981340830571
501,red,80,0.0002237981340830571
1282,x,79,0.00022100065740701886
1212,thirtyeight,79,0.00022100065740701886
922,blue,78,0.00021820318073098065
2244,seventysix,78,0.00021820318073098065
1009,initial,78,0.00021820318073098065
79,brown,78,0.00021820318073098065
258,copper,78,0.00021820318073098065
270,screenprinted,78,0.00021820318073098065
852,lineblock,78,0.00021820318073098065
1809,pressuresensitive,78,0.00021820318073098065
2389,bolts,77,0.00021540570405494244
1403,recto,77,0.00021540570405494244
282,silk,77,0.00021540570405494244
2245,stains,77,0.00021540570405494244
694,gum,77,0.00021540570405494244
263,tubular,77,0.00021540570405494244
370,celluloid,76,0.00021260822737890423
811,parts,75,0.00020981075070286603
1956,instant,75,0.00020981075070286603
1706,contents,75,0.00020981075070286603
1041,broadside,74,0.0002070132740268278
1642,seventytwo,73,0.00020421579735078958
241,zinc,72,0.00020141832067475138
1820,paperfaced,71,0.00019862084399871317
2015,palladium,70,0.00019582336732267493
230,blown,70,0.00019582336732267493
214,stone,70,0.00019582336732267493
140,photomechanical,70,0.00019582336732267493
1119,inkless,70,0.00019582336732267493
17,photographic,69,0.00019302589064663673
371,gold,69,0.00019302589064663673
1560,sixtyeight,69,0.00019302589064663673
3089,slide,67,0.0001874309372945603
489,ivory,67,0.0001874309372945603
238,nylon,67,0.0001874309372945603
272,laminated,66,0.0001846334606185221
251,polyethylene,66,0.0001846334606185221
235,abs,66,0.0001846334606185221
126,photo,66,0.0001846334606185221
1221,twentyfive,65,0.00018183598394248387
206,foam,65,0.00018183598394248387
599,case,64,0.00017903850726644566
1010,ornament,64,0.00017903850726644566
2587,presstype,64,0.00017903850726644566
54,resin,63,0.00017624103059040745
246,enameled,63,0.00017624103059040745
85,overlay,62,0.00017344355391436925
